Wall time,Step,Value
1531049260,1234,0.939999998
1531049261,1236,0.930000007
1531049261,1239,0.970000029
1531049263,1244,0.959999979
1531049263,1247,0.980000019
1531049265,1253,0.980000019
1531049265,1255,0.99000001
1531049265,1257,0.939999998
1531049265,1258,1
1531049266,1261,0.939999998
1531049267,1263,0.959999979
1531049267,1266,0.980000019
1531049269,1274,0.949999988
1531049270,1281,0.959999979
1531049271,1287,0.959999979
1531049272,1291,0.939999998
1531049272,1292,0.930000007
1531049272,1293,0.959999979
1531049272,1294,0.980000019
1531049273,1300,0.939999998
1531049274,1303,0.980000019
1531049276,1310,0.949999988
1531049276,1312,0.980000019
1531049277,1315,0.970000029
1531049277,1316,0.959999979
1531049277,1319,0.959999979
1531049279,1325,0.949999988
1531049279,1327,0.970000029
1531049280,1330,0.970000029
1531049281,1333,0.980000019
1531049281,1334,0.949999988
1531049282,1336,0.939999998
1531049282,1337,0.980000019
1531049283,1343,0.949999988
1531049286,1355,0.980000019
1531049288,1366,0.970000029
1531049289,1370,0.980000019
1531049291,1379,0.980000019
1531049292,1384,0.930000007
1531049292,1385,0.99000001
1531049293,1388,0.930000007
1531049293,1389,0.980000019
1531049293,1391,0.959999979
1531049293,1392,0.980000019
1531049294,1395,0.99000001
1531049297,1412,0.970000029
1531049297,1413,0.99000001
1531049297,1414,1
1531049298,1419,0.970000029
1531049299,1422,0.980000019
1531049299,1426,0.959999979
1531049300,1427,0.970000029
1531049300,1428,0.980000019
1531049301,1432,1
1531049301,1433,0.939999998
1531049301,1436,0.970000029
1531049302,1440,0.949999988
1531049302,1442,0.970000029
1531049305,1456,0.980000019
1531049307,1465,0.970000029
1531049308,1466,0.959999979
1531049312,1477,0.980000019
1531049313,1485,0.980000019
1531049313,1486,0.970000029
1531049314,1489,0.959999979
1531049314,1491,0.970000029
1531049315,1492,0.970000029
1531049316,1500,0.99000001
1531049316,1501,0.99000001
1531049317,1502,0.980000019
1531049317,1506,0.99000001
1531049317,1508,0.99000001
1531049318,1510,0.959999979
1531049319,1518,0.99000001
1531049320,1523,0.949999988
1531049320,1524,0.959999979
1531049321,1527,0.939999998
1531049322,1534,0.99000001
1531049324,1546,1
1531049325,1551,0.980000019
1531049325,1552,0.980000019
1531049326,1554,0.949999988
1531049326,1555,1
1531049327,1561,0.949999988
1531049328,1568,0.980000019
1531049329,1569,0.949999988
1531049330,1578,0.970000029
1531049332,1582,0.970000029
1531049332,1584,0.980000019
1531049333,1588,0.99000001
1531049335,1597,0.939999998
1531049336,1604,0.970000029
1531049336,1605,0.980000019
1531049337,1610,0.99000001
